country,year,agriculture_value,gdp_per_capita,population,poverty_headcount,school_enrollment,unemployment_rate,agriculture_value_change,gdp_per_capita_change,population_change,poverty_headcount_change,school_enrollment_change,unemployment_rate_change
KE,2002,25.8539676039456,402.936385605382,32629808.0,33.67153284671533,59.55194,2.916,-7.164615861859625,-1.8904451705974656,3.1962825083643898,0.0,-8.12992088631761,1.3908205841446364
KE,2003,25.8044393708329,442.898457253405,33652223.0,33.67153284671533,70.65569,2.869,-0.19156917758781367,9.917712342602902,3.1333773094833983,0.0,18.645488291397406,-1.6117969821673461
KE,2004,24.9290410875057,463.662781300121,34713455.0,33.67153284671533,68.99043,2.844,-3.392432870743456,4.68828096071594,3.1535271830333444,0.0,-2.3568660924548346,-0.871383757406774
KE,2005,24.2362747002419,523.456312433863,35796484.0,44.6,69.58856,2.739,-2.7789532089584013,12.895909170470743,3.1199112851198585,32.45610231953175,0.8669753181709261,-3.691983122362874
KE,2006,20.5196878049409,699.80237063381,36904008.0,33.67153284671533,68.69264,2.673,-15.334810903360097,33.6887824277079,3.093946321655494,-24.50328958135577,-1.2874529951474867,-2.409638554216864
KE,2007,20.5866644602991,840.201439476765,38036349.0,33.67153284671533,78.52198,2.642,0.32640192187560757,20.06267408265505,3.0683415199779907,0.0,14.309160340904059,-1.1597456041900545
KE,2008,22.1963401579826,915.54435473604,39206351.0,33.67153284671533,74.7547,2.751,7.819021390219483,8.967244248735717,3.0760102658643707,0.0,-4.797739435505832,4.125662376987127
KE,2009,16.2549814662286,1047.9678324485,40408891.0,33.67153284671533,75.94578,2.816,-26.76728978501114,14.463906311850838,3.0672071471277595,0.0,1.5933178783407609,2.362777171937469
KE,2010,17.5677598863696,1091.51873101194,41598567.0,33.67153284671533,80.67822719063545,2.793,8.076160670305498,4.155747649399344,2.944094654812468,0.0,6.23134977431985,-0.8167613636363535
KE,2011,18.8947112249953,1096.14499807675,42758461.0,33.67153284671533,80.67822719063545,2.699,7.553332622989961,0.4238376248954623,2.7883027797568127,0.0,0.0,-3.365556749015408
KE,2012,18.8297259329446,1285.00536171512,43888303.0,33.67153284671533,79.96782,2.678,-0.3439337668454723,17.22950558272276,2.6423822878002934,0.0,-0.8805438782843122,-0.7780659503519805
KE,2013,18.6165515854622,1370.87885214659,44986791.0,33.67153284671533,80.67822719063545,2.762,-1.1321160395087349,6.6827340173003735,2.502917462996912,0.0,0.8883663336520353,3.1366691560866355
KE,2014,18.3478393393556,1482.81566253497,46051440.0,33.67153284671533,80.67822719063545,2.767,-1.4434050520744202,8.165332057833119,2.3665813371751776,0.0,0.0,0.1810282404054897
KE,2015,19.4696147780528,1489.11959777284,47088526.0,37.7,80.67822719063545,2.762,6.11393754844487,0.4251327658013171,2.252016440745397,11.964014740949501,0.0,-0.18070112034693775
KE,2016,20.0345164328349,1554.12610314423,48139687.0,33.67153284671533,80.67822719063545,2.757,2.901452654414527,4.365432129737279,2.232308142327488,-10.685589266007089,0.0,-0.1810282404055008
KE,2017,20.8936374065292,1667.48447230835,49197766.0,33.67153284671533,80.67822719063545,3.542,4.288204192871237,7.294026458649583,2.19793493879592,0.0,0.0,28.472977874501247
KE,2018,20.314910419968,1836.45275528993,50207107.0,33.67153284671533,80.67822719063545,4.284,-2.7698718767865227,10.13312482290598,2.0515992535108163,0.0,0.0,20.948616600790505
